Part,Value,Housing,Amount Controller Modul,Amount Analogmodul,Amount Schaltmodul,Amount Busmodul,Amount LoRa Gw,Lora Inwall,Lora Steckdose,Distributor,Amount all,Order No.,,
C,1u,805,1,0,0,0,0,,,Www.reichelt.de,1,"KEM X7R0805A1,0U",,
C,22p,1206,0,0,0,0,2,,,Www.reichelt.de,0,NPO 1206 BG 22P,,
C,10n,1206,0,0,1,0,2,,,Www.reichelt.de,1,X7R 1206 CH 10N,,
C,100n,1206,2,6,4,0,6,,,Www.reichelt.de,12,KEM C0G1206 100N,,
C,10u,805,0,16,0,0,0,,,Www.reichelt.de,16,KEM X5R1206 10U,,
C,100u,Tantal Case B,1,0,0,0,0,,,Www.reichelt.de,1,KEM X5R1206 100U,abweichende Bauform,
D,1N4148,MELF,2,0,0,0,0,,,Www.reichelt.de,2,1N 4148 SMD,abweichende Bauform Mini MELF,
D,10BQ030,805,1,0,0,0,0,,,www.conrad.de,1,163421 - 62,abweichende Bauform,http://www.produktinfo.conrad.com/datenblaetter/150000-174999/163421-da-01-en-10BQ030_SCHOTTKY_DIODE_SMB.pdf
D,LED gr체n,3mm,0,0,0,1,1,,,Www.reichelt.de,1,LED 3MM 2MA GN,,
D,LED rot,3mm,0,0,0,1,0,,,Www.reichelt.de,1,LED 3MM 2MA RT,,
F,2A Niederspannung,,1,0,0,0,0,,,Www.reichelt.de,1,"SMD-SF 2,0A",,
F,2A 230V,,0,0,0,0,0,1,1,Www.reichelt.de,,"UMT 2,0A",,
F,5A,,0,0,1,0,0,,,Www.reichelt.de,1,RND 170-00001,,
K,G6D-1A-ASI-5DC,,2,0,11,0,0,,,Www.reichelt.de,13,G6D 1A ASI 05V,,
L,BLM21G331,805,1,0,0,0,0,,,Www.reichelt.de,1,BLM21PG 331,,
Q,BC846A,SOT23,5,0,0,0,0,,,Www.reichelt.de,5,BC 846A SMD,,
Q,BC817,SOT23,0,0,0,2,0,,,Www.reichelt.de,2,BC 817-16 SMD,,
R,1k,805,0,0,0,2,0,,,Www.reichelt.de,2,"SMD-0805 1,00K",,
R,470,805,0,16,0,0,0,,,Www.reichelt.de,16,SMD-0805 470,,
R,1k8,805,1,0,0,0,0,,,Www.reichelt.de,1,"SMD-0805 1,80K",,
R,2k2,805,12,0,2,2,0,,,Www.reichelt.de,16,"SMD-0805 2,20K",,
R,3k3,805,1,0,0,0,0,,,Www.reichelt.de,1,"SMD-0805 3,30K",,
R,4k7,805,2,0,3,0,1,,,Www.reichelt.de,5,"SMD-0805 4,70K",,
R,10k,805,1,4,0,0,3,,,Www.reichelt.de,5,"SMD-0805 10,0K",,
RV,,RV_Disc_D12_W3.9_P7.5,,0,10,0,0,,,Www.reichelt.de,10,"VDR-0,6 270",,
S,Taster,Taster9303,0,0,0,1,0,,,Www.reichelt.de,1,TASTER 9305,,
U,PCA9515,SOIC8,2,0,1,0,0,,,Www.reichelt.de,3,PCA 9515 D,,
U,"Pin Header, grade","2,54mm 3x2",0,1,0,0,0,,,Www.reichelt.de,1,,,
U,ATtiny45,DIP8,1,0,0,0,0,,,Www.reichelt.de,1,,,
U,MCP23017,DIP-28_W7.62mm SMD Sockel,0,0,1,0,0,,,Www.reichelt.de,1,MCP 23017-E/SP,abweichende Bauform,
U,ULN2003A,SOIC-16,0,0,2,0,0,,,Www.reichelt.de,2,ULN 2003 AD,,
U,ADS1015,PSOP10,0,4,0,0,0,,,Www.reichelt.de,4,ADS 1015 IDGST,,
U,"LTC6652-2,5",MSOP-8_3,0,1,0,0,0,,,www.conrad.de,1,1256516 - 62,,
U,"LTC6652-4,096",MSOP-8_3,0,1,0,0,0,,,www.conrad.de,1,1256512 - 62 ,,
X,RPi_Interface,"2,54mm 2x3, Wanne",1,0,0,1,0,,,Www.reichelt.de,2,WSL 6G,,
X,Modulbus,"2,54mm 2x5, Wanne",1,1,1,1,1,,,Www.reichelt.de,4,WSL 10G,,
X,RaspberryB+,"2,54mm 2x20 Buchsenleiste",4,0,0,0,0,,,Www.reichelt.de,4,,,
X,Pin Header 90째 female,"2,54 2x5",0,0,0,1,2,,,Www.reichelt.de,1,"BL 2X10W8 2,54",,
X,Pin Header 90째 male,"2,54 2x5",0,0,0,1,0,,,Www.reichelt.de,1,"SL 2X10W 2,54",,
,,,1,0,0,0,0,,,Www.reichelt.de,,MPE 017-1-008-3,"abweichende Bauform: Sockel, solange Ctrlmodul noch nicht auf SMD umgestellt",
,,,1,0,0,0,0,,,Www.reichelt.de,,MPE 017-1-016-3,"abweichende Bauform: Sockel, solange Ctrlmodul noch nicht auf SMD umgestellt",
,Klemmen ,AKL 073-03,11,,,,4,,,Www.reichelt.de,,AKL 073-03,,
,,AKL 073-02,1,,,,0,,,Www.reichelt.de,,AKL 073-02,,
,Quarz 8MHz,,,,,,1,,,Www.reichelt.de,,IQD LFXTAL003156,,
,"3,3V Spannungsregler",SOT223,,,,,1,1,1,Www.reichelt.de,,LM 1117 IMP3.3,,
,10uF,Becher 5mm SMD,,,,,1,,,Www.reichelt.de,,EEHZA 10U 50,,
,Antenne 433MHz,ACAG1204-433-T,,,,,0,,,,,,,
,SMD LED gr체n,603,,,,,1,,,Www.reichelt.de,,VIS TLMS 1000,,
,,,,,,,,,,,,,,
,U.FL,SMD Leiterplattenstecker,,,,,,,,www.segor.de,,,,
,ATMega328,TQFP32,,,,,1,,,www.segor.de,1,ATMEGA 328P-AU,,
,LED blau reverse,1206,,,,,,,1,Www.reichelt.de,,EVL 25-21/BHC-X SMD-LED 1206,,
,SMD Netzteil,,,,,,,1,1,Www.reichelt.de,,RAC02-05SC,,
